Overledene-Voornaam,Aantal
Chrisianus,5
Chrisinus,1
Chrisitaan,3
Chrisitna,1
Chrisjaan,3
Chrislain,1
Chrislijn,1
Chrisophora,1
Chrisophorus,1
Chrisosthomus,1
Chrispianus,1
Chrispijn,2
Chrispinianus,1
Chrispinus,2
Chrisrianus,1
Chrisrina,1
Chrissostomus,1
Chrisstina,2
Chrisstof,1
Chrisstoffel,3
Chrissy,1
Christ,45
Christaan,6
Christaanus,1
Christanus,2
Christas,1
Christe,1
Christean,1
Christeanus,1
Christeijaen,1
Christeijna,1
Christeina,1
Christel,1
Christelie,1
Christen,1
Christena,1
Christene,1
Christhina,3
Christhophel,1
Christhoporus,1
Christi,1
Christia,2
Christiaan,6599
Christiaans,2
Christiaantje,2
Christiaanus,8
Christiaen,322
Christiaeni,1
Christiaens,1
Christiaentj,1
Christiaenus,4
Christiamus,1
Christian,132
Christiana,436
Christianam,1
Christiandus,1
Christiane,4
Christiani,48
Christianii,1
Christianij,1
Christianije,1
Christianis,6
Christianius,1
Christiannus,1
Christians,1
Christianum,1
Christianus,9161
Christianus?,1
Christieaan,1
Christien,87
Christiena,24
Christiene,1
Christientje,2
Christiforus,1
Christiin,1
Christijaan,7
Christijaen,1
Christijn,48
Christijna,20
Christijne,1
Christijnken,2
Christijntge,1
Christijntgen,3
Christijntie,2
Christijntien,3
Christijntje,6
Christijntjen,3
Christijntken,1
Christin,8
Christina,10571
Christinaa,1
Christinaan,1
Christinam,4
Christinanus,5
Christinaus,7
Christine,114
Christini,1
Christinia,1
Christinianus,2
Christinie,2
Christinken,1
Christinna,7
Christintjen,1
Christinus,46
Christiphorus,2
Christisanus,1
Christiyaen,1
Christjaan,31
Christjaen,6
Christjana,1
Christjanus,6
Christje,3
Christjem,1
Christna,3
Christo,1
Christobal,1
Christof,3
Christofel,1
Christofera,3
Christoferi,1
Christoferus,6
Christoff,3
Christoffel,875
Christoffelijna,1
Christoffelina,70
Christoffeline,2
Christoffelis,2
Christoffer,9
Christofferus,1
Christoffle,1
Christoffora,1
Christofforus,1
Christofle,2
Christoflina,1
Christofolus,1
Christofora,8
Christofori,1
Christoforus,23
Christofphina,1
Christofvina,1
Christopera,1
Christoph,22
Christoph/o)rus,1
Christophara,1
Christophe,11
Christophel,20
Christophelina,2
Christopher,1
Christophera,1
Christopherus,14
Christophij,1
Christophil,1
Christophilus,1
Christophina,2
Christophine,1
Christophius,1
Christophle,2
Christophline,1
Christopholina,1
Christopholus,4
Christophonis,1
Christophoor,1
Christophora,123
Christophores,1
Christophori,4
Christophoris,1
Christophoru,9
Christophorus,788
Christophours,1
Christophous,1
Christophurus,2
Christophus,1
Christopora,1
Christoporus,2
Christphorus,1
Christriaan,1
Christtianus,1
Christtofvina,1
Christyn,5
Christyne,1
Christynken,1
Christyntie,1
Christyntje,2
Christyntken,3
Chritiaan,1
Chritianus,4
Chritien,2
Chritina,3
Chritoffel,2
Chritophorus,3
Chritsoffel,1
Chrizantius,1
Chrostiaen,1
Chrsitiaan,2
Chrsitianus,2
Chrsitina,3
Chrsitoffel,1
Chrstina,1
Chrtistina,1
Chrysosthomus,1
Chrysostomus,1
Chrystophorus,1
Chtianus,1
Chtistiaan,3
Chtistina,2
Chultje,1
Chung,1
Chung-nan,1
Chyphas,1
Chystophorus,2
Cia,6
Ciardus,1
Cibertus,1
Cibilla,6
Cicelia,1
Cicelle,1
Cicielia,1
Cicilia,39
Cicille,1
Cidonie,1
Cie,2
Ciebertus,1
Cielia,2
Cielie,1
Cientje,2
Cij,1
Cijke,16
Cijken,10
Cijme,1
Cijmert,1
Cijn,1
Cijna,1
Cijntje,2
Cijprianus,4
Cijprionus,1
Cijriel,4
Cijrille,9
Cijrillus,3
Cijruij,1
Cijrus,1
Cijtje,1
Cili,2
Cilia,18
Cilia(Alia),1
Ciliana,1
Cilianus,1
Cilias,1
Cilis,1
Cilius,6
Cimera,1
Cina,5
Cintje,1
Cipa,1
Cipriaan,1
Ciprianus,3
Ciprien,2
Cipryanus,1
Ciradus,1
Cirinus,2
Cirnelis,1
Cirsoeta,1
Cirstianus,1
Cirstina,1
Cis,50
Ciss,1
Cissca,1
Cistina,1
Cita,1
Cjhristiaan,1
Ckasper,1
Ckristina,1
Cla(ra),2
Claalbertus,1
Claar,2
Claara,8
Claaramie,1
Claarke,1
Claarken,1
Claartje,8
Claas,475
Claasce,1
Claaseyntje,1
Claasien,3
Claasijna,2
Claasina,5
Claasine,1
Claasje,11
Claaske,13
Claasken,12
Claciena,1
Clacina,4
Claeijs,1
Claer,1
Claera,1
Claercken,1
Claere,1
Claerke,2
Claerken,22
Claertge,1
Claertgen,3
Claertghien,1
Claertie,2
Claertijen,1
Claertje,5
Claes,699
Claesdientje,1
Claesgen,1
Claeshien,1
Claesien,1
Claesije,1
Claesijn,2
Claesijna,2
Claesijntje,1
Claesina,10
Claesine,1
Claesje,15
Claesjen,1
Claeske,41
Claesken,135
Claeslien,1
Claess,5
Claessen,2
Claessina,1
Claessyn,1
Claesyna,2
Claire,17
Clais,6
Claisijna,1
Claisina,1
Claiske,1
Clalbertus,1
Clara,2461
Claramina,1
Clarande,1
Clarasina,2
Clare,7
Claria,3
Clarijntje,1
Clarina,2
Clarissa,2
Clarisse,1
Clarken,1
Clarra,1
Clarsina,1
Clarus,1
Clas,1
Clasena,1
Clasiana,1
Clasien,24
Clasiena,57
Clasientie,1
Clasiin,1
Clasijn,19
Clasijna,47
Clasijne,2
Clasijnken,1
Clasijntie,3
Clasijntien,2
Clasijntje,10
Clasijntjen,1
Clasin,4
Clasina,3010
Clasinam,4
Clasine,19
Clasinus,25
Clasje,1
Claske,2
Classina,3
Clasyn,1
Clasyna,2
Clasyne,1
Clasyntje,1
Claude,20
Claudi,1
Claudia,5
Claudie,2
Claudii,5
Claudina,13
Claudine,1
Claudius,59
Claudy,1
Claus,1
Clausina,6
Clausinam,1
Clauske,1
Clausken,1
Clazien,8
Claziena,10
Claziene,1
Clazijn,7
Clazijna,7
Clazina,225
Clazine,1
Clazinna,1
Clazinus,11
Cleas,1
Cleemans,1
Cleerke,1
Cleesken,2
Cleijs,1
Cleijsken,1
Cleis,1
Clemance,1
Clemantien,1
Clemeijnsijn,1
Clemence,20
ClŽmence,2
Clemens,128
Clement,81
Clementia,27
Clementien,2
Clementin,1
Clementina,80
Clementine,24
ClŽmentine,2
Clementinus,3
Clementis,1
Clementius,3
Clementz,1
Cleofas,1
Cleophas,5
Cleriere,1
Clerken,1
Clerothiena,1
Clesijn,1
Clesina,7
Cletus,1
Cleus,17
Cleusien,1
Cleuske,15
Cleusken,21
Clkaas,1
Cloasina,1
Closina,4
Clothilda,3
Clothilde,5
Clothildis,1
Clotilda,2
Clotilde,10
Clotildes,1
Clotildis,3
Cloudia,1
Cloudie,1
Clueske,1
Cnaliaan,1
Cnelis,2
Cnelus,1
Co,1
Coarolina,1
Coba,31
Cobes,7
Cobi,1
Cobis,3
Cobus,99
Cocilia,1
Codedt,1
Coeliken,1
Coen,28
Coenaart,1
Coenardus,1
Coene,1
Coenelis,3
Coengaerdus,1
Coenier,1
Coenra,1
Coenraad,348
Coenraadt,10
Coenraard,1
Coenraat,61
Coenrad,6
Coenrada,4
Coenrades,2
Coenradina,10
Coenradine,1
Coenradus,120
Coenraed,12
Coenraedt,14
Coenraedus,1
Coenraerdus,1
Coenraert,1
Coenraet,47
Coenrard,4
Coenrardus,88
Coenrat,3
Coeraert,1
Coerdt,1
Coernelies,8
Coernelis,1
Coerst,1
Coerstiaen,1
Coerstijaen,1
Coert,10
Coertjan,1
Coethen,1
Coirnelia,1
Coirnelis,1
Colas,1
Colehough,1
Cšlestin,1
Coleta,67
Coletha,1
Coletta,37
Colette,7
Colijn,1
Colin,1
Collebina,1
Collet,1
Colleta,14
Colletta,13
Collette,2
Collin,1
Coloma,3
Colrnelis,2
Columba,3
Comardus,1
Combertus,1
Comelius,1
Comerina,1
Comijn,1
Commar,4
Commariena,1
Commarijna,1
Commeken,1
Commelijntgen,1
Commer,36
Commera,2
Commercina,1
Commericus,1
Commerijna,2
Commerijntje,2
Commerina,12
Commerine,1
Commerke,1
Commerken,10
Commerske,1
Commersken,1
Commertie,2
Commertien,1
Commertje,4
Commerus,2
Commeryntgen,1
Commeryntken,1
Comradus,1
Conagonda,1
Conaldus?,1
Conda,1
Conelia,14
Conelie,1
Conelis,13
Conelius,8
Conelus,2
Congardus,2
Conielis,1
Coninck,1
Conira,1
Coniugunda,1
Connardis,1
Connegundis,2
Connij,1
Connrardus,1
Conraad,6
Conraat,1
Conrad,46
Conrada,3
ConradFranz,1
Conradi,1
Conradijna,1
Conradina,3
Conradine,2
Conradius,1
Conradt,2
Conradus,157
Conraed,5
Conraedt,3
Conraedus,1
Conraet,6
Conrard,2
Conrarda,8
Conrardi,1
Conrardus,165
Conrat,2
Conrath,1
Conrelia,1
Conrrdus,1
Constacia,1
Constan,5
Constance,73
Constancia,9
Constancy,1
Constaninus,1
Constans,5
Constansia,2
Constansinus,1
Constanstinus,2
Constant,140
Constantia,181
Constantien,2
Constantienus,1
Constantijn,16
Constantin,6
Constantina,45
Constantines,1
Constantini,35
Constantino,1
Constantinus,539
ConstantinusNicolaas,1
Constantis,2
Constantius,25
Constantonus,1
Constants,1
Constantus,1
Constanza,1
Constanze,1
Constatina,1
Constatini,1
Constatinus,3
Constina,1
Contantia,1
ContCornelia,1
Contiana,1
Contstantinus,1
Coob,1
Coobis,1
Coobus,4
Coonelius,1
Coonradus,1
Coop,1
Coorneeliea,1
Coorneelieaa,2
Coorneelies,2
Coornelia,1
Coornelio,1
Coornelis,2
Coorst,1
Coosje,1
Copius,2
Coppen,2
Coprnelia,1
Coprnelis,1
Cor,17
Cora,1
Coralie,2
Corardus,1
Corbelis,1
Corbert,1
Cordula,8
Coreeles,1
Coreijnken,1
Corelia,1
Corelis,1
Corenelia,1
Corenelius,1
Corenius,1
Corenleia,1
Corenlia,7
Corenlis,5
Corenly,1
Cores,1
Coria,1
Corijn,3
Corina,5
Corinna,1
Corinne,1
Corinus,17
Coris,1
Corlia,1
Corlina,4
Cormelia,1
Cormelis,2
Cormelius,1
Corn,121
Corn:,1
Cornaelius,1
Cornalia,1
Corne,7
Corneclis,1
Corneel,1
Corneeles,2
Corneelia,6
Corneelie,3
Corneelieaa,1
Corneelija,1
Corneelis,25
Corneelius,1
Corneelke,1
Corneelus,8
Corneia,3
Corneiis,1
Corneijke,1
Corneil,113
Corneila,2
Corneile,5
Corneilis,1
Corneilius,1
Corneille,618
Corneillee,3
Corneilli,1
Corneillie,10
Corneis,4
Cornel,4
Cornela,8
Cornelea,1
Corneleken,1
Cornelens,1
Corneles,51
Corneli,133
Corneli(s),1
Cornelia,63733
CornŽlia,2
Cornelia(gem),1
Cornelia(onw),1
Cornelia)Petri,1
Cornelia?,2
Cornelia\Elisabeth,1
Corneliaa,1
Cornelia-Antony,1
Cornelia-Clasina,1
Cornelia-Elisabeth,1
Corneliam,2
CorneliaPetronella,1
Cornelias,2
Cornelica,1
Cornelida,1
Cornelie,533
CorneliŽ,1
CornŽlie,29
Corneliea,7
Cornelies,101
Cornelii,381
Corneliius,6
Cornelij,35
Cornelija,9
Cornelijken,3
Cornelijs,3
Cornelijus,1
Cornelike,1
Corneliken,5
Cornelina,3
Cornelis,58546
Cornelis(kind),1
Cornelis(onecht),1
CornelisAdriaan,1
Cornelis-Derk,1
Cornelise,1
Cornelisen,1
CornelisJohannes,1
Corneliske,3
Cornelisken,19
Corneliss,4
Cornelisse,2
Cornelissen,3
Cornelisz,1
Cornelium,4
Cornelius,33530
Cornelius(senior),1
Cornelius(sic),2
Cornelius?,1
Corneliusjoanneszn,2
Corneliusjr,1
Cornelius-Martinus,2
Corneliuszn,1
Cornelle,3
Cornelles,2
Cornellia,2
Cornellie,1
Cornellis,4
Cornellius,2
Cornels,3
Corneluis,5
Cornelus,4089
Corneluske,1
Cornely,422
Cornelya,1
Cornelyn,1
Cornelys,1
Cornerlia,1
Corneuis,2
Corni,1
Cornila,1
Cornili,1
Cornilia,6
Cornilie,1
Cornilis,1
Cornilius,3
Cornille,2
Cornillia,5
Cornillis,1
Cornillius,2
Cornillus,3
Cornis,1
Cornl,1
Cornleia,1
Cornlia,2
Cornliea,1
Cornlis,4
Cornlius,2
Cornly,1
Cornraad,1
Cornrlis,1
Corns,6
Cornstiaen,1
Cornulus,1
Corodina,1
Corolina,2
Corolis,1
Corolus,3
Coronet,1
CorrŽ,1
Corri,4
Corrie,12
Corrij,6
Corrneelus,1
Corrnelia,1
Corrnelis,1
Corrnelius,3
Corrolie,1
Corrolus,1
Corry,5
Cors,3
Corsiaan,1
Corsiaen,1
Corsianus,1
Corsinnius,1
Corsjaan,1
Corst,45
Corstaan,1
Corste,1
Corsteaan,1
Corsteaen,2
Corstean,2
Corsten,5
Corsti,1
Corstiaan,500
Corstiaantje,3
Corstiaen,232
Corstiaenje,1
Corstiaens,1
Corstiaentije,1
Corstiaentje,1
Corstian,7
Corstiana,35
Corstianes,1
Corstianus,116
Corstien,5
Corstijaen,5
Corstijn,1
Corstina,3
Corstius,1
Corstiyan,1
Corstjaan,1
Corstjaen,8
Corstje,4
Corstjen,4
Corstten,1
Cort,1
Cortiaen,1
Cortianus,1
Cortnelia,1
Cortneliken,1
Corts,1
Cortsiaan,1
Cos,1
Cosina,1
Cosken,1
Cosman,3
Cosmas,7
Cosmasina,1
Cosmus,1
Cossanus,1
Costant,1
Costantia,1
Costantinus,4
Costers,1
Costiaan,6
Costiaen,2
Costianus,3
Counrardus,1
Couralina,1
Courmerijna,1
Court,1
Coustantia,1
Covijntje,2
Cprnelis,1
Creijn,6
Creijne,1
Creijntie,2
Crein,2
Creintje,1
Crents,1
Cresia,2
Crestina,2
Crethien,1
Cretien,12
Cr‘tien,1
CrŽtien,1
Creti‘nne,1
Creytje,1
Crhistianus,2
Crhistina,1
Crien,1
Criest,1
Criestiaen,1
Criestienus,1
Criestina,5
Crijn,107
Crijna,7
Crijnardus,3
Crijne,4
Crijneke,3
Crijneken,2
Crijnen,2
Crijnken,4
Crijnneken,1
Crijntgen,2
Crijntie,3
Crijntien,11
Crijntje,15
Crijntjen,4
Crijntken,3
Crijstianus,1
Crijstina,2
Crijstophorus,1
Crijtien,1
Crin,1
Crina,6
Crinerus,1
Crintien,1
Cris,4
Crisatianus,1
Crisbertus,1
Criseaan,1
Crispina,7
Crispinus,9
Crispus,1
Crisstin,1
Crisstoffel,1
Crist,7
Cristaan,1
Cristas,1
Cristeen,1
Cristhophorus,1
Cristi,1
Cristiaan,139
Cristiaen,23
Cristian,5
Cristiana,18
Cristians,1
Cristianus,292
Cristieaan,1
Cristieaen,1
Cristieanus,1
Cristien,34
Cristiena,1
Cristijaan,9
Cristijaen,2
Cristijn,10
Cristijna,4
Cristijntje,1
Cristin,1
Cristina,565
Cristinam,1
Cristine,5
Cristinus,1
Cristje,1
Cristofera,1
Cristoffel,25
Cristoffelina,1
Cristofforus,1
Cristofori,1
Cristoforus,3
Cristofphe,1
Cristoph,1
Cristophori,1
Cristophoris,1
Cristophorus,24
Cristyn,2
Critien,1
Crnelis,1
Croon,1
Crun,1
Cryn,8
Cryna,1
Crynemanni,1
Cryntgen,1
Cryntian,1
Cryntie,3
Cryntien,1
Cryntje,2
Cryntken,1
Csijltie,1
Ctharina,4
Cuen,1
Cuenier,1
Cuijck,1
Cuijnder,1
Cuijnderke,2
Cuijndert,5
Cuijndertje,3
Cuijnera,1
Cuijnert,1
Cuijntje,3
Cuintie,1
Cuirinus,1
Culena,1
Cumberta,1
Cumbertus,1
Cuna,2
Cunagonda,1
Cunagunda,1
Cunagundis,1
Cundegunda,1
Cunderke,1
Cunebertus,3
Cunegonda,6
Cunegondes,2
Cunegondis,4
Cunegunda,5
Cunegundis,16
Cunera,117
Cuneradus,2
Cunerius,1
Cunerus,2
Cunibertus,2
Cuniera,4
Cunierken,1
Cuniertgen,1
Cuniertien,1
Cuniertje,1
Cunigundis,3
Cuniqundis,1
Cunira,9
Cunka,1
Cunnegondis,1
Cunnegunda,1
Curina,3
Curines,2
Curinus,2
Curt,4
Cutbert,1
Cybil,1
Cybilla,1
Cyken,3
Cypriana,1
Cyprien,1
Cyriel,2
Cyrille,3
Cyrilles,1
Cyrillus,2
D(omina),1
Dâsirâ,1
Daam,2
Daan,2
Daana,1
Daandel,17
Daanielis,1
Daanjel,1
Daantje,6
Daatje,26
Daem,13
Daemke,1
Daems,1
Daen,2
Daendel,11
Daeniel,1
Daenna,1
Dafken,1
Dagoberta,1
Dagobertha,1
Dahlia,1
Dalia,2
Dalida,2
Dalinem,1
Damaianus,1
Damasius,1
Damasus,8
Damen,1
Dames,9
Dames?,1
Damiaen,1
Damian,1
Damiana,5
Damianus,32
Damien,1
Damis,11
Damius,1
Dammas,1
Dammers,2
Dammes,15
Dammis,11
Dammus,1
Damus,4
Dana,13
Danckaert,1
Danckart,1
Dancker,3
Danckert,5
Dandel,14
Dandelina,1
Dandiel,1
Daneel,7
Danel,1
Danelina,2
Daneline,1
Daniäl,7
Dania,5
DaniŠl,1
Dani‘,1
Danie,1
Daniel,3158
Dani‘l,223
Dan•el,1
Daniela,14
Dani‘la,2
Danielidis,1
Danielis,18
Daniell,4
Dani‘ll,1
Daniella,4
Dani‘lla,6
Daniels,6
Danielus,4
Danijel,3
Danis,1
Danken,1
Danker,4
Dankert,60
Dankertje,2
Dannij,1
Dannijt,1
Danny,1
Danvios,1
Daphina,2
Daphne,1
Dara,1
Darans,1
Darvine,1
Dathea,1
Dave,1
Davia,1
David,825
Davida,12
Daviddina,1
Davidina,6
Davidje,5
Davidt,13
Davidus,2
Davies,1
Davila,2
Davina,19
Davit,19
Davy,1
De,558
DŽa,1
Dea,1
Debet,1
Debora,79
Deborah,1
Debra,2
Dedde,1
Dederic,1
Dederica,2
Dederice,1
Dedericus,2
Dederijcus,2
Dederik,1
Dederika,4
Dedorus,1
Dedrica,1
Dedrika,1
Deeles,1
Deeliana,1
Deelis,26
Deellijaentien,1
Deeltje,1
Deen,2
Deenis,10
Deenus,1
Deeries,1
Deeris,7
Deeriske,2
Deerkje,1
Degena,1
Degenhardt,1
Deick,1
Deijn,1
Deijna,1
Deilis,1
Deirck,1
Deiris,3
Delanus,2
Delen,1
Deles,14
Delfina,2
Deli,4
Delia,83
Deliaan,8
Deliaana,2
Deliaantje,2
Deliaen,5
Deliaena,1
Deliaentgen,1
Deliaentje,1
Deliaentjen,4
Delian,1
Deliana,307
Delianautie,1
Deliane,1
Delianus,2
Delicaeb,1
Delida,2
Delie,2
Delien,1
Delienne,1
Delij,4
Delijken,3
Delike,1
Deliken,7
Delilia,1
Delina,1
Delinatien,1
Delinia,1
Delinus,7
Delis,172
Deliske,5
Delisken,1
Deliviana,1
Della,1
Dellefiena,1
Delphina,26
Delphine,5
Delyda,1
Demer,1
Demetrius,3
Demna,1
Demphena,1
Demphijma,1
Demphina,2
Demphna,5
Dena,2
Deneijs,1
Deneke,1
Denemie,1
Denerus,1
Denes,1
Deni,1
Denie,1
Deniel,1
Denies,1
Denijs,44
Denis,245
Denise,4
Denisius,3
Deniske,1
Denissen,1
Denneke,1
Dennis,4
Denpena,1
Denus,3
Denys,8
Deodate,1
Deodatus,10
Deodora,1
Deodores,2
Deodorius,1
Deodorus,7
Deonesius,2
Deonicius,1
Deonies,1
Deonijs,6
Deonijsia,1
Deonijsius,1
Deonis,1
Deonisia,4
Deonisius,20
Deonysius,1
Dephina,1
Der,1
Derard,2
Derck,113
Dercken,1
Derckens,1
Derckie,1
Derckien,1
Derckjen,1
Derckscken,1
Dereckxen,1
Derek,1
Deres,2
Dereske,3
Deretken,1
Deric,3
Derick,107
Dericks,1
Dericksgen,1
Dericksken,2
Dericxke,1
Dericxken,1
Deriexke,1
Derijck,3
Derik,21
Derika,1
Derikie,1
Derikje,1
Deris,99
Deriske,18
Derisken,66
Derius,1
Derk,398
Derkdina,2
Derkelina,1
Derken,1
Derkie,3
Derkien,2
Derkje,22
Derkjen,4
Derk-P,1
Derks,1
Derkske,2
Deroos,1
Derres,3
Derresken,1
Derrick,39
Derricksken,1
Derrik,1
Derris,16
Derriske,17
Derrisken,17
Derrit,1
Derrixken,2
Ders,13
Derske,5
Dersken,17
Derus,1
DeserŽ,1
Desideria,1
DŽsideria,1
Desiderius,23
Desire,8
DesirŽ,21
DŽsirŽ,18
Desiree,2
DesirŽe,2
DŽsirŽe,3
Dethea,1
Detlef,1
Detmer,1
Deurtje,1
Deuterke,1
Devertie,1
Devina,1
Dewerta,1
Dheodora,1
Dhijerx,1
Dhoratea,1
Dhorete,1
Dia,1
Dialiana,1
Diana,17
Dich,1
Dick,8
Dicke,1
Dickmannus,1
Dicks,1
Dickske,1
Dicta,1
Dictus,5
Dida,1
Didacus,26
Didaeus,1
Didenica,1
Dideric,7
Diderica,19
Diderich,6
Diderick,13
Didericum,1
Didericus,19
Diderieus,1
Diderijck,2
Diderijk,2
Diderik,24
Diderika,5
Diderikus,3
Diderixus,1
Diderych,1
Didier,2
Didiere,1
Didirik,1
Didricus,1
Didrik,1
Diebel,1
Diebertie,1
Diederch,1
Diederic,1
Diederica,2
Diederich,10
Diederick,11
Diedericus,4
Diederig,1
Diederijck,2
Diederik,49
Diederika,4
Diederikus,1
Diedrich,2
Diegenom,2
Diegna,1
Diego,1
Diel,5
Dieleken,1
Dielemans,1
Dielen,1
Dielenus,4
Dieles,38
Dielia,4
Dieliaantje,1
Dieliana,5
Dielianus,3
Dielieaan,1
Dieliejana,1
Dielies,5
Dielis,578
Dielisse,1
Dielje,1
Dielken,1
Diellis,1
Dielon,1
Dielus,44
Diemerus,1
Dien,86
Diena,231
Dieneke,1
Dienes,1
Diengeman,2
Diengen,1
Diengena,3
Diengenna,1
Dieniesius,1
Dienisius,1
Dienken,2
Dienpena,1
Dienstknegt,1
Dienstmaagd,1
Dientie,5
Dientien,1
Dientje,75
Diepena,1
Dierch,2
Diercje,1
Dierck,130
Diercken,2
Dierckin,1
Diercksgen,2
Diercksken,2
Diercxen,1
Diercxke,1
Diercxken,3
Dierek,1
Dieric,2
Dierick,96
Diericken,1
Dierickjen,1
Diericksgen,1
Dierickske,1
Diericksken,1
Diericktje,1
Dierickxe,1
Dierickxke,1
Dierickxken,2
Dierickxse,1
Diericxken,6
Dierijc,1
Dierijck,2
Dierik,9
Dierike,1
Dierikje,1
Dieris,3
Dieriske,2
Dierisken,4
Dierix,1
Dierixen,1
Dierixgen,1
Dierixken,7
Dierk,54
Dierkje,1
Dierkske,3
Dierrick,5
Dierris,1
Dierrixken,1
Diers,2
Dierske,13
Diersken,2
Dierxje,1
Dierxk,1
Dierxken,2
Dietelhof,1
Dieter,3
Dieterica,1
Dieterick,1
Dietert,1
Diethelm,1
Dietje,5
DieudonnŽ,4
Dieudonne,1
Dieuwertje,11
Dieuwke,5
Dievera,3
Dievertie,1
Dievertje,1
Diewertina,1
Diewertje,4
Diewertus,2
Difia,1
Digan,1
Digemannus,1
Digemans,1
Digeminna,1
Digena,5
Digenman,1
Diggeman,2
Diggemannus,4
Diggen,1
Diggena,2
Diggo,1
Dighna,4
Digilius,2
Digina,1
Digma,1
Digmamnis,1
Digman,50
Digmani,1
Digmannes,2
Digmanni,2
Digmannus,211
Digmanus,24
Digna,1831
Digna-Klara,1
Dignam,1
Dignaman,1
Dignatius,3
Dignatus,1
Digne,40
Digneken,9
Digneman,2
Dignemannus,12
Dignemans,1
Dignen,1
Dignena,1
Dignetgen,1
Dignetje,1
Dignette,1
Dignha,1
Dignis,2
Dignke,1
Dignmannus,1
Dignom,2
Dignomanni,1
Dignoom,2
Dignum,2
Dignus,33
Dija,1
Dijcke,1
Dijdelhoft,1
Dijderick,1
Dijderijck,1
Dijel,1
Dijerck,4
Dijfa,1
Dijftgen,1
Dijgmannus,1
Dijgmanus,2
Dijgna,5
Dijke,1
Dijkstra,1
Dijlia,3
Dijlis,5
Dijmbert,1
Dijmhena,1
Dijmhna,4
Dijmhpna,1
Dijmka,1
Dijmna,18
Dijmona,1
Dijmpana,3
Dijmpena,5
Dijmpha,12
Dijmphana,38
Dijmphena,158
Dijmphia,1
Dijmphina,51
Dijmphinus,3
Dijmphirus,1
Dijmphma,2
Dijmphna,1184
Dijmphne,7
Dijmphnena,2
Dijmphnus,1
Dijmpma,1
Dijmpmannus,6
Dijmpmanus,2
Dijmpna,1338
Dijmpne,1
Dijmpnha,4
Dijmpte,1
Dijmtpna,1
Dijn,1
Dijna,24
Dijnandus,1
Dijneman,1
Dijnerke,1
Dijnes,1
Dijngemannus,1
Dijngena,1
Dijngetje,1
Dijnghemannus,1
Dijngman,1
Dijnmphna,1
Dijnna,1
Dijnphena,18
Dijnphina,1
Dijnphna,63
Dijonica,1
Dijonijs,1
Dijonijsius,1
Dijonisia,4
Dijonisius,58
Dijonisus,1
Dijphena,1
Dijphna,1
Dijphnana,1
Dijpna,2
Dijrck,7
Dijrcksken,1
Dijrijck,1
Dijryck,1
Dijsman,1
Dik,1
Dika,1
Dikje,3
Dikkens,1
Dikris,1
Dileanus,1
Dilegondis,1
Dilemus,1
Dilena,2
Dilenis,1
Dilenus,5
Dilera,1
Diles,5
Dilia,62
Diliaan,3
Diliaen,4
Diliaentje,1
Diliana,233
Diliane,3
Dilianna,2
Dilianus,28
Diliis,2
Dilis,178
Dilis(sen,1
Dilis/Aegidius,1
Dilius,11
Dilles,3
Dillia,1
Dilliaentis,1
Dillian,1
Dilliana,1
Dillija,1
Dillis,24
Dillius,1
Dilus,5
Dimbna,1
Dimerta,1
Dimerus,2
Dimes,1
Dimfena,1
Dimfina,1
Dimfna,2
Dimfna?,1
Dimgna,1
Dimhena,1
Dimhna,1
Dimia,1
Dimme,2
Dimmen,1
Dimmerina,1
Dimna,21
Dimon,1
Dimpena,24
Dimpfena,1
Dimpfna,4
Dimpha,15
Dimphana,18
Dimphe,1
Dimphena,970
Dimphene,1
Dimphia,1
Dimphina,68
Dimphma,1
Dimphna,1298
Dimphne,13
Dimphnius,1
Dimphona,1
Dimphrena,2
Dimpia,1
Dimpma,1
Dimpmannius,1
Dimpmannus,5
Dimpna,888
Dimpnala,1
Dimpnannus,1
Dimpnha,2
Dimpnus,2
Dimprena,1
Dimpta,1
Dimptna,31
Dimptnus,1
Dimschena,1
Dina,1488
Dinand,2
Dinardus,1
Dine,3
Dineken,2
Dinema,1
Dineman,1
Ding(en),1
Dinga,6
Dinge,21
Dingega,1
Dingeken,2
Dingelina,1
Dingema,12
Dingeman,1504
Dingemandus,1
Dingemannes,2
Dingemanni,31
Dingemannis,3
Dingemannus,224
Dingemans,9
Dingemant,1
Dingemanus,28
Dingemen,1
Dingemie,3
Dingen,97
Dingena,3420
Dingenaa,1
Dingenaart,1
Dingenant,1
Dingene,3
Dingeneken,1
Dingenerus,3
Dingenis,12
Dingenken,13
Dingenman,2
Dingenmannus,2
Dingenom,1
Dingens,1
Dingenten,1
Dingentge,1
Dingentgen,8
Dingentie,8
Dingentien,16
Dingentije,1
Dingentje,35
Dingentje(Ingentje),1
Dingentjen,7
Dingentke,2
Dingentken,7
Dingenum,1
Dingenus,21
Dingera,1
Dingerna,1
Dingetge,2
Dingetgen,12
Dingetie,17
Dingetien,5
Dingetje,21
Dingetjen,5
Dingetke,1
Dingetken,2
Dinggeman,1
Dinggemanny,1
Dinggena,1
Dinghe,2
Dingheman,10
Dinghemannus,1
Dinghemanus,1
Dinghen,30
Dinghena,1
Dinghenman,1
Dinghentje,1
Dinghentjen,2
Dinghna,12
Dinghtjen,1
Dingina,1
Dingje,1
Dingjentje,1
Dingma,2
Dingman,39
Dingmani,1
Dingmannes,1
Dingmannus,97
Dingmanus,6
Dingna,246
Dingna-Gerardi,1
